title,year,age,imdb,rotten_tomatoes,netflix,hulu,prime_video,disney+,imdb_raw,rotten_raw,themes,description
Breaking Bad,2008,18+,9.4/10,100/100,1,0,0,0,9.4,100.0,Crime Drama Thriller,A chemistry teacher diagnosed with inoperable lung cancer turns to manufacturing and selling methamphetamine with a former student in order to secure his family's future.
Stranger Things,2016,16+,8.7/10,96/100,1,0,0,0,8.7,96.0,Drama Fantasy Horror,"When a young boy disappears, his mother, a police chief and his friends must confront terrifying supernatural forces in order to get him back."
Attack on Titan,2013,18+,9.0/10,95/100,1,1,0,0,9.0,95.0,Animation Action Adventure,"After his hometown is destroyed and his mother is killed, young Eren Jaeger vows to cleanse the earth of the giant humanoid Titans that have brought humanity to the brink of extinction."
Better Call Saul,2015,18+,8.8/10,94/100,1,0,0,0,8.8,94.0,Crime Drama,The trials and tribulations of criminal lawyer Jimmy McGill in the years leading up to his fateful run-in with Walter White and Jesse Pinkman.
Dark,2017,16+,8.8/10,93/100,1,0,0,0,8.8,93.0,Crime Drama Mystery,"A family saga with a supernatural twist, set in a German town where the disappearance of two young children exposes the relationships among four families."
Avatar: The Last Airbender,2005,7+,9.3/10,93/100,1,0,1,0,9.3,93.0,Animation Action Adventure,"In a war-torn world of elemental magic, a young boy reawakens to undertake a dangerous mystic quest to fulfill his destiny as the Avatar, and bring peace to the world."
Peaky Blinders,2013,18+,8.8/10,93/100,1,0,0,0,8.8,93.0,Crime Drama,"A gangster family epic set in 1900s England, centering on a gang who sew razor blades in the peaks of their caps, and their fierce boss Tommy Shelby."
The Walking Dead,2010,18+,8.2/10,93/100,1,0,0,0,8.2,93.0,Drama Horror Thriller,Sheriff Deputy Rick Grimes wakes up from a coma to learn the world is in ruins and must lead a group of survivors to stay alive.
Black Mirror,2011,18+,8.8/10,92/100,1,0,0,0,8.8,92.0,Drama Mystery Sci-Fi,"An anthology series exploring a twisted, high-tech multiverse where humanity's greatest innovations and darkest instincts collide."
The Queen's Gambit,2020,18+,8.6/10,92/100,1,0,0,0,8.6,92.0,Drama,"Orphaned at the tender age of nine, prodigious introvert Beth Harmon discovers and masters the game of chess in 1960s USA. But child stardom comes at a price."
Mindhunter,2017,18+,8.6/10,90/100,1,0,0,0,8.6,90.0,Crime Drama Mystery,"Set in the late 1970s, two FBI agents are tasked with interviewing serial killers to solve open cases."
Community,2009,7+,8.5/10,90/100,1,1,1,0,8.5,90.0,Comedy,A suspended lawyer is forced to enroll in a community college with an eccentric staff and student body.
Narcos,2015,18+,8.8/10,90/100,1,0,0,0,8.8,90.0,Biography Crime Drama,"A chronicled look at the criminal exploits of Colombian drug lord Pablo Escobar, as well as the many other drug kingpins who plagued the country through the years."
Shameless,2011,18+,8.5/10,90/100,1,1,1,0,8.5,90.0,Comedy Drama,"A scrappy, feisty, fiercely loyal Chicago family makes no apologies."
Money Heist,2017,18+,8.3/10,90/100,1,0,0,0,8.3,90.0,Action Crime Drama,An unusual group of robbers attempt to carry out the most perfect robbery in Spanish history - stealing 2.4 billion euros from the Royal Mint of Spain.
Daredevil,2015,18+,8.6/10,90/100,1,0,0,0,8.6,90.0,Action Crime Drama,"A blind lawyer by day, vigilante by night. Matt Murdock fights the crime of New York as Daredevil."
Lucifer,2016,16+,8.1/10,90/100,1,0,0,0,8.1,90.0,Crime Drama Fantasy,Lucifer Morningstar has decided he's had enough of being the dutiful servant in Hell and decides to spend some time on Earth to better understand humanity. He settles in Los Angeles - the City of Angels.
Supernatural,2005,16+,8.4/10,89/100,1,0,0,0,8.4,89.0,Drama Fantasy Horror,"Two brothers follow their father's footsteps as hunters, fighting evil supernatural beings of many kinds, including monsters, demons, and gods that roam the earth."
The Witcher,2019,18+,8.2/10,89/100,1,0,0,0,8.2,89.0,Action Adventure Drama,"Geralt of Rivia, a solitary monster hunter, struggles to find his place in a world where people often prove more wicked than beasts."
Ozark,2017,18+,8.4/10,89/100,1,0,0,0,8.4,89.0,Crime Drama Thriller,"A financial advisor drags his family from Chicago to the Missouri Ozarks, where he must launder money to appease a drug boss."
The Crown,2016,18+,8.6/10,89/100,1,0,0,0,8.6,89.0,Biography Drama History,Follows the political rivalries and romance of Queen Elizabeth II's reign and the events that shaped the second half of the twentieth century.
Cobra Kai,2018,16+,8.6/10,89/100,1,0,0,0,8.6,89.0,Action Comedy Drama,"Decades after their 1984 All Valley Karate Tournament bout, a middle-aged Daniel LaRusso and Johnny Lawrence find themselves martial-arts rivals again."
The Blacklist,2013,16+,8.0/10,88/100,1,0,0,0,8.0,88.0,Crime Drama Mystery,"A new FBI profiler, Elizabeth Keen, has her entire life uprooted when a mysterious criminal, Raymond Reddington, who has eluded capture for decades, turns himself in and insists on speaking only to her."
The Flash,2014,16+,7.6/10,88/100,1,0,0,0,7.6,88.0,Action Adventure Drama,"After being struck by lightning, Barry Allen wakes up from his coma to discover he's been given the power of super speed, becoming the Flash, and fighting crime in Central City."
Outlander,2014,18+,8.4/10,88/100,1,0,0,0,8.4,88.0,Drama Fantasy Romance,An English combat nurse from 1945 is mysteriously swept back in time to 1743.
Fullmetal Alchemist: Brotherhood,2009,16+,9.1/10,88/100,1,1,0,0,9.1,88.0,Animation Action Adventure,Two brothers search for a Philosopher's Stone after an attempt to revive their deceased mother goes awry and leaves them in damaged physical forms.
The Good Place,2016,16+,8.2/10,88/100,1,0,0,0,8.2,88.0,Comedy Drama Fantasy,Four people and their otherworldly frienemy struggle in the afterlife to define what it means to be good.
House of Cards,2013,18+,8.7/10,88/100,1,0,0,0,8.7,88.0,Drama,A Congressman works with his equally conniving wife to exact revenge on the people who betrayed him.
Atypical,2017,16+,8.3/10,88/100,1,0,0,0,8.3,88.0,Comedy Drama,"Sam, an 18-year-old on the autism spectrum, decides it's time to find a girlfriend, which sets Sam's mom on her own life-changing path as her son seeks more independence."
Grey's Anatomy,2005,16+,7.5/10,87/100,1,1,0,0,7.5,87.0,Drama Romance,A drama centered on the personal and professional lives of five surgical interns and their supervisors.
Arrested Development,2003,16+,8.7/10,87/100,1,1,0,0,8.7,87.0,Comedy,"Level-headed son Michael Bluth takes over family affairs after his father is imprisoned. But the rest of his spoiled, dysfunctional family are making his job unbearable."
Lupin,2021,18+,7.5/10,87/100,1,0,0,0,7.5,87.0,Action Crime Drama,"Inspired by the adventures of Arsène Lupin, gentleman thief Assane Diop sets out to avenge his father for an injustice inflicted by a wealthy family."
The Umbrella Academy,2019,16+,8.0/10,87/100,1,0,0,0,8.0,87.0,Action Adventure Comedy,"A family of former child heroes, now grown apart, must reunite to continue to protect the world."
Orange Is the New Black,2013,18+,8.0/10,87/100,1,0,0,0,8.0,87.0,Comedy Crime Drama,"Convicted of a decade old crime of transporting drug money to an ex-girlfriend, normally law-abiding Piper Chapman is sentenced to a year and a half behind bars to face the reality of how life-changing prison can really be."
The Vampire Diaries,2009,16+,7.7/10,86/100,1,0,0,0,7.7,86.0,Drama Fantasy Horror,"The lives, loves, dangers and disasters in the town, Mystic Falls, Virginia. Creatures of unspeakable horror lurk beneath this town as a teenage girl is suddenly torn between two vampire brothers."
Demon Slayer: Kimetsu no Yaiba,2019,18+,8.7/10,86/100,1,1,0,0,8.7,86.0,Animation Action Adventure,"A family is attacked by demons and only two members survive - Tanjiro and his sister Nezuko, who is turning into a demon slowly. Tanjiro sets out to become a demon slayer to avenge his family and cure his sister."
The Last Dance,2020,16+,9.1/10,86/100,1,0,0,0,9.1,86.0,Documentary Biography History,"Charting the rise of the 1990s Chicago Bulls, led by Michael Jordan, one of the most notable dynasties in sports history."
American Horror Story,2011,18+,8.0/10,86/100,1,1,1,0,8.0,86.0,Drama Horror Sci-Fi,"An anthology series centering on different characters and locations, including a house with a murderous past, an insane asylum, a witch coven, a freak show circus, a haunted hotel, a possessed farmhouse, a cult, the apocalypse, a slasher summer camp, a bleak beach town and desert... Read all"
Elite,2018,18+,7.5/10,86/100,1,0,0,0,7.5,86.0,Crime Drama Thriller,"When three working-class teenagers begin attending an exclusive private school in Spain, the clash between them and the wealthy students leads to murder."
BoJack Horseman,2014,18+,8.7/10,86/100,1,0,0,0,8.7,86.0,Animation Comedy Drama,"BoJack Horseman was the star of the hit television show ""Horsin' Around"" in the '80s and '90s, but now he's washed up, living in Hollywood, complaining about everything, and wearing colorful sweaters."
Star Trek: The Next Generation,1987,7+,8.6/10,86/100,1,1,1,0,8.6,86.0,Action Adventure Sci-Fi,"Set almost 100 years after Captain Kirk's 5-year mission, a new generation of Starfleet officers set off in the U.S.S. Enterprise-D on its own mission to go where no one has gone before."
Broadchurch,2013,18+,8.4/10,86/100,1,0,0,0,8.4,86.0,Crime Drama Mystery,"The murder of a young boy in a small coastal town brings a media frenzy, which threatens to tear the community apart."
The IT Crowd,2006,16+,8.5/10,86/100,1,0,0,0,8.5,86.0,Comedy,"The comedic misadventures of Roy, Moss and their grifting supervisor Jen, a rag-tag team of IT support workers at a large corporation headed by a hotheaded yuppie."
When They See Us,2019,18+,8.9/10,86/100,1,0,0,0,8.9,86.0,Biography Crime Drama,Five teens from Harlem become trapped in a nightmare when they're falsely accused of a brutal attack in Central Park. Based on the true story.
"Love, Death & Robots",2019,18+,8.5/10,86/100,1,0,0,0,8.5,86.0,Animation Short Action,"A collection of animated short stories that span various genres including science fiction, fantasy, horror and comedy."
Schitt's Creek,2015,16+,8.5/10,86/100,1,0,0,0,8.5,86.0,Comedy,"After being a victim of fraud, Johnny Rose and his family go from extremely wealthy to penniless overnight. The only asset left to them is a small, unsophisticated town: Schitt's Creek. They relocate there. Culture shock ensues."
Agents of S.H.I.E.L.D.,2013,16+,7.5/10,86/100,1,0,0,0,7.5,86.0,Action Adventure Drama,"The missions of the Strategic Homeland Intervention, Enforcement and Logistics Division."
Never Have I Ever,2020,16+,7.9/10,86/100,1,0,0,0,7.9,86.0,Comedy Drama,"The complicated life of a modern-day first generation Indian American teenage girl, inspired by Mindy Kaling's own childhood."
The 100,2014,16+,7.6/10,86/100,1,0,0,0,7.6,86.0,Drama Mystery Sci-Fi,"Set 97 years after a nuclear war destroyed civilization, when a spaceship housing humanity's lone survivors sends 100 juvenile delinquents back to Earth, hoping to repopulate the planet."
American Crime Story,2016,18+,8.4/10,85/100,1,0,0,0,8.4,85.0,Biography Crime Drama,An anthology series centered around America's most notorious crimes and criminals.
The Last Kingdom,2015,18+,8.4/10,85/100,1,0,0,0,8.4,85.0,Action Drama History,"As Alfred the Great defends his kingdom from Norse invaders, Uhtred--born a Saxon but raised by Vikings--seeks to claim his ancestral birthright."
The End of the F***ing World,2017,18+,8.1/10,85/100,1,0,0,0,8.1,85.0,Adventure Comedy Crime,"James is 17 and is pretty sure he is a psychopath. Alyssa, also 17, is the cool and moody new girl at school. The pair make a connection and she persuades him to embark on a road trip in search of her real father."
New Girl,2011,16+,7.7/10,85/100,1,0,0,0,7.7,85.0,Comedy Romance,"After a bad break-up, Jess, an offbeat young woman, moves into an apartment loft with three single men. Although they find her behavior very unusual, the men support her - most of the time."
Penny Dreadful,2014,18+,8.2/10,85/100,1,0,1,0,8.2,85.0,Drama Fantasy Horror,"Explorer Sir Malcolm Murray, American gunslinger Ethan Chandler, scientist Victor Frankenstein and medium Vanessa Ives unite to combat supernatural threats in Victorian London."
One Piece,1999,7+,8.8/10,85/100,1,1,0,0,8.8,85.0,Animation Action Adventure,"Follows the adventures of Monkey D. Luffy and his pirate crew in order to find the greatest treasure ever left by the legendary Pirate, Gold Roger. The famous mystery treasure named ""One Piece""."
The Punisher,2017,18+,8.5/10,85/100,1,0,0,0,8.5,85.0,Action Crime Drama,"After his revenge on those who murdered his family, aimless Marine veteran Frank Castle finds a new meaning in life as a vigilante known as ""The Punisher""."
YOU,2018,18+,7.7/10,85/100,1,0,0,0,7.7,85.0,Crime Drama Romance,"A dangerously charming, intensely obsessive young man goes to extreme measures to insert himself into the lives of those he is transfixed by."
Sense8,2015,18+,8.3/10,84/100,1,0,0,0,8.3,84.0,Drama Mystery Sci-Fi,"A group of people around the world are suddenly linked mentally, and must find a way to survive being hunted by those who see them as a threat to the world's order."
Making a Murderer,2015,16+,8.6/10,84/100,1,0,0,0,8.6,84.0,Documentary Crime,"Filmed over a 10-year period, Steven Avery, a DNA exoneree who, while in the midst of exposing corruption in local law enforcement, finds himself the prime suspect in a grisly new crime."
Unbelievable,2019,18+,8.4/10,84/100,1,0,0,0,8.4,84.0,Crime Drama,"A teenager is charged with lying about having been raped, but two detectives follow the path to the truth."
Arrow,2012,16+,7.5/10,84/100,1,0,0,0,7.5,84.0,Action Adventure Crime,"Spoiled billionaire playboy Oliver Queen is missing and presumed dead when his yacht is lost at sea. He returns five years later a changed man, determined to clean up the city as a hooded vigilante armed with a bow."
Sex Education,2019,18+,8.3/10,84/100,1,0,0,0,8.3,84.0,Comedy Drama,A teenage boy with a sex therapist mother teams up with a high school classmate to set up an underground sex therapy clinic at school.
Jessica Jones,2015,18+,7.9/10,84/100,1,0,0,0,7.9,84.0,Action Crime Drama,"Following the tragic end of her brief superhero career, Jessica Jones tries to rebuild her life as a private investigator, dealing with cases involving people with remarkable abilities in New York City."
Sweet Tooth,2021,16+,7.9/10,84/100,1,0,0,0,7.9,84.0,Action Adventure Drama,A boy who is half human and half deer survives in a post-apocalyptic world with other hybrids.
Good Girls,2018,16+,7.8/10,84/100,1,1,0,0,7.8,84.0,Comedy Crime Drama,Three suburban mothers suddenly find themselves in desperate circumstances and decide to stop playing it safe and risk everything to take back their power.
Death Note,2006,16+,9.0/10,84/100,1,1,0,0,9.0,84.0,Animation Crime Drama,An intelligent high school student goes on a secret crusade to eliminate criminals from the world after discovering a notebook capable of killing anyone whose name is written into it.
Gilmore Girls,2000,16+,8.1/10,84/100,1,0,0,0,8.1,84.0,Comedy Drama,"A dramedy centering around the relationship between a thirtysomething single mother and her teen daughter living in Stars Hollow, Connecticut."
The Legend of Korra,2012,7+,8.4/10,83/100,1,0,0,0,8.4,83.0,Animation Action Adventure,Avatar Korra fights to keep Republic City safe from the evil forces of both the physical and spiritual worlds.
How to Get Away with Murder,2014,16+,8.1/10,83/100,1,1,0,0,8.1,83.0,Crime Drama Mystery,A group of ambitious law students and their brilliant criminal defense professor become involved in a twisted murder plot that promises to change the course of their lives.
Master of None,2015,18+,8.3/10,83/100,1,0,0,0,8.3,83.0,Comedy Drama,"The personal and professional life of Dev, a 30-year-old actor in New York."
Chappelle's Show,2003,18+,8.7/10,83/100,1,0,0,0,8.7,83.0,Comedy Music,Comedian Dave Chappelle hosts this sketch-comedy show that parodies many of the nuances of race and culture.
One-Punch Man,2015,7+,8.8/10,83/100,1,1,0,0,8.8,83.0,Animation Action Comedy,"The story of Saitama, a hero that does it just for fun & can defeat his enemies with a single punch."
Downton Abbey,2010,16+,8.7/10,83/100,1,0,1,0,8.7,83.0,Drama Romance,A chronicle of the lives of the British aristocratic Crawley family and their servants in the early twentieth century.
Gotham,2014,16+,7.8/10,83/100,1,0,0,0,7.8,83.0,Action Crime Drama,The story behind Detective James Gordon's rise to prominence in Gotham City in the years before Batman's arrival.
Pose,2018,18+,8.6/10,83/100,1,0,0,0,8.6,83.0,Drama,"In the New York of the late '80s and early '90s, this is a story of ball culture and the gay and trans community, the raging AIDS crisis, and capitalism."
Altered Carbon,2018,18+,8.0/10,83/100,1,0,0,0,8.0,83.0,Action Drama Sci-Fi,"Set in a future where consciousness is digitized and stored, a prisoner returns to life in a new body and must solve a mind-bending murder to win his freedom."
Ash vs Evil Dead,2015,18+,8.4/10,83/100,1,0,0,0,8.4,83.0,Action Comedy Fantasy,"Ash has spent the last thirty years avoiding responsibility, maturity, and the terrors of the Evil Dead until a Deadite plague threatens to destroy all of mankind and Ash becomes mankind's only hope."
The Sinner,2017,16+,7.9/10,83/100,1,0,0,0,7.9,83.0,Crime Drama Mystery,Anthology series that examines how and why ordinary people commit brutal crimes.
Our Planet,2019,all,9.3/10,82/100,1,0,0,0,9.3,82.0,Documentary,"Documentary series focusing on the breadth of the diversity of habitats around the world, from the remote Arctic wilderness and mysterious deep oceans to the vast landscapes of Africa and diverse jungles of South America."
Narcos: Mexico,2018,18+,8.4/10,82/100,1,0,0,0,8.4,82.0,Crime Drama,The rise of the Guadalajara Cartel as an American DEA agent learns the danger of targeting narcos in Mexico.
Shadow and Bone,2021,16+,7.7/10,82/100,1,0,0,0,7.7,82.0,Action Adventure Drama,Dark forces conspire against orphan mapmaker Alina Starkov when she unleashes an extraordinary power that could change the fate of her war-torn world.
Castlevania,2017,18+,8.3/10,82/100,1,0,0,0,8.3,82.0,Animation Action Adventure,A vampire hunter fights to save a besieged city from an army of otherworldly creatures controlled by Dracula.
Star Trek,1966,7+,8.3/10,82/100,1,1,1,0,8.3,82.0,Action Adventure Sci-Fi,"In the 23rd Century, Captain James T. Kirk and the crew of the U.S.S. Enterprise explore the galaxy and defend the United Federation of Planets."
The Kominsky Method,2018,18+,8.2/10,82/100,1,0,0,0,8.2,82.0,Comedy Drama,"An aging actor, who long ago enjoyed a brush with fame, makes his living as an acting coach."
Hunter x Hunter,2011,16+,9.0/10,82/100,1,1,0,0,9.0,82.0,Animation Action Adventure,"Gon Freecss aspires to become a Hunter, an exceptional being capable of greatness. With his friends and his potential, he seeks out his father, who left him when he was younger."
Dead to Me,2019,18+,8.0/10,82/100,1,0,0,0,8.0,82.0,Comedy Crime Drama,A series about a powerful friendship that blossoms between a tightly wound widow and a free spirit with a shocking secret.
The Haunting of Hill House,2018,18+,8.6/10,82/100,1,0,0,0,8.6,82.0,Drama Horror Mystery,"Flashing between past and present, a fractured family confronts haunting memories of their old home and the terrifying events that drove them from it."
Russian Doll,2019,18+,7.9/10,82/100,1,0,0,0,7.9,82.0,Comedy Drama Mystery,A cynical young woman in New York City keeps dying and returning to the party that's being thrown in her honor on that same evening. She tries to find a way out of this strange time loop.
Neon Genesis Evangelion,1995,16+,8.5/10,82/100,1,0,0,0,8.5,82.0,Animation Action Drama,A teenage boy finds himself recruited as a member of an elite team of pilots by his father.
Naruto,2002,7+,8.3/10,81/100,1,1,0,0,8.3,81.0,Animation Action Adventure,"Naruto Uzumaki, a mischievous adolescent ninja, struggles as he searches for recognition and dreams of becoming the Hokage, the village's leader and strongest ninja."
NCIS,2003,16+,7.7/10,81/100,1,0,0,0,7.7,81.0,Action Crime Drama,"The cases of the Naval Criminal Investigative Service's Washington, D.C. Major Case Response Team."
Manifest,2018,16+,7.2/10,81/100,1,1,0,0,7.2,81.0,Drama Mystery Sci-Fi,"A commercial airliner suddenly reappears after being missing for five years. As those aboard reintegrate into society, they experience guiding voices and visions of events yet to occur, and soon a deeper mystery unfolds."
Halt and Catch Fire,2014,16+,8.4/10,81/100,1,0,0,0,8.4,81.0,Drama,Follows some players in the 80s technological revolution that lead to information society.
Monty Python's Flying Circus,1969,16+,8.8/10,81/100,1,0,0,0,8.8,81.0,Comedy,The original surreal sketch comedy showcase for the Monty Python troupe.
After Life,2019,18+,8.4/10,81/100,1,0,0,0,8.4,81.0,Comedy Drama,"After Tony's wife dies, his nice-guy persona is altered into an impulsive, devil-may-care attitude that takes his old world by storm."
Riverdale,2017,16+,6.8/10,81/100,1,1,0,0,6.8,81.0,Crime Drama Mystery,"While navigating the troubled waters of romance, school and family, Archie and his gang become entangled in dark Riverdale mysteries."
Big Mouth,2017,18+,7.9/10,81/100,1,0,0,0,7.9,81.0,Animation Comedy Romance,Teenage friends find their lives upended by the wonders and horrors of puberty.
I Think You Should Leave with Tim Robinson,2019,18+,7.8/10,81/100,1,0,0,0,7.8,81.0,Comedy,"In this new sketch show, Tim Robinson and guests spend each segment driving someone to the point of needing -- or desperately wanting -- to leave."
Derry Girls,2018,16+,8.4/10,81/100,1,0,0,0,8.4,81.0,Comedy,The personal exploits of a 16-year-old girl and her family and friends during the Troubles in the early 1990s.
The Promised Neverland,2019,18+,8.5/10,81/100,1,1,0,0,8.5,81.0,Animation Action Adventure,"When three gifted kids at an isolated idyllic orphanage discover the secret and sinister purpose they were raised for, they look for a way to escape from their evil caretaker and lead the other children in a risky escape plan."
Lost in Space,2018,7+,7.3/10,80/100,1,1,0,0,7.3,80.0,Adventure Drama Family,"After crash-landing on an alien planet, the Robinson family fight against all odds to survive and escape, but they're surrounded by hidden dangers."
Star Trek: Deep Space Nine,1993,7+,8.0/10,80/100,1,1,1,0,8.0,80.0,Action Adventure Drama,"In the vicinity of the liberated planet of Bajor, the Federation space station Deep Space Nine guards the opening of a stable wormhole to the far side of the galaxy."
Jane the Virgin,2014,16+,7.8/10,80/100,1,0,0,0,7.8,80.0,Comedy,"A young, devout Catholic woman discovers that she was accidentally artificially inseminated."
Godless,2017,18+,8.3/10,80/100,1,0,0,0,8.3,80.0,Action Drama Western,"In the 1880s American West, murderous outlaw gang leader Frank Griffin hunts for ex-protege Roy Goode. Frank's chase leads him to La Belle, New Mexico--a town inhabited, after a mining disaster, almost entirely by women."
The OA,2016,18+,7.8/10,80/100,1,0,0,0,7.8,80.0,Drama Fantasy Mystery,"Having gone missing seven years ago, the previously blind Prairie returns home, now in her twenties with her sight restored. While many believe she is a miracle, others worry that she could be dangerous."
DC's Legends of Tomorrow,2016,16+,6.8/10,80/100,1,0,0,0,6.8,80.0,Action Adventure Drama,"Time-traveling rogue Rip Hunter must recruit a ragtag team of heroes and villains to help prevent an apocalypse that could impact not only Earth, but all of time."
Sacred Games,2018,18+,8.6/10,80/100,1,0,0,0,8.6,80.0,Action Crime Drama,"A link in their pasts leads an honest cop to a fugitive gang boss, whose cryptic warning spurs the officer on a quest to save Mumbai from cataclysm."
iZombie,2015,16+,7.8/10,80/100,1,0,0,0,7.8,80.0,Comedy Crime Drama,"A medical resident finds that being a zombie has its perks, which she uses to assist the police."
Longmire,2012,16+,8.3/10,80/100,1,0,0,0,8.3,80.0,Action Crime Drama,"Walt Longmire is the dedicated and unflappable sheriff of Absaroka County, Wyoming. Widowed only a year, he is a man in psychic repair but buries his pain behind his brave face, unassuming grin and dry wit."
Happy Endings,2011,16+,7.7/10,80/100,1,1,0,0,7.7,80.0,Comedy Romance,"This Chicago-set sitcom follows the intertwined lives of six young urbanites trying to learn the ropes of adulthood. Through breakups and whatever other curve-balls life throws them, the pals stick together."
Into the Badlands,2015,16+,8.0/10,80/100,1,0,0,0,8.0,80.0,Action Adventure Drama,A mighty warrior and a young boy with supernatural powers search for enlightenment in a ruthless post-apocalyptic America controlled by feudal barons.
The Originals,2013,16+,8.2/10,80/100,1,0,0,0,8.2,80.0,Drama Fantasy Horror,A family of power-hungry thousand-year-old vampires look to take back the city that they built and dominate all those who have done them wrong.
Anne with an E,2017,all,8.7/10,80/100,1,0,0,0,8.7,80.0,Drama Family,"The adventures of a young orphan girl living in the early 19th century. Follow Anne as she learns to navigate her new life on Prince Edward Island, in this new take on L.M. Montgomery's classic novels."
Grace and Frankie,2015,18+,8.3/10,80/100,1,0,0,0,8.3,80.0,Comedy,"Finding out that their husbands are not just work partners, but have also been romantically involved for the last twenty years, two women with an already strained relationship try to cope with the circumstances together."
Chilling Adventures of Sabrina,2018,16+,7.5/10,80/100,1,0,0,0,7.5,80.0,Drama Fantasy Horror,"As her 16th birthday nears, Sabrina must choose between the witch world of her family and the human world of her friends. Based on the Archie comic."
Queen of the South,2016,16+,8.0/10,79/100,1,0,0,0,8.0,79.0,Action Crime Drama,Teresa flees Mexico after her drug-runner boyfriend is murdered. Settling in Dallas she looks to become the country's reigning drug smuggler and to avenge her lover's murder.
A Series of Unfortunate Events,2017,7+,7.8/10,79/100,1,0,0,0,7.8,79.0,Adventure Comedy Drama,"After the loss of their parents in a mysterious fire, the three Baudelaire children face trials and tribulations attempting to uncover dark family secrets."
Bridgerton,2020,0,7.3/10,79/100,1,0,0,0,7.3,79.0,Drama History Romance,"Wealth, lust, and betrayal set against the backdrop of Regency-era England, seen through the eyes of the powerful Bridgerton family."
Unorthodox,2020,18+,8.0/10,79/100,1,0,0,0,8.0,79.0,Drama,Story of a young ultra-Orthodox Jewish woman who flees her arranged marriage and religious community to start a new life abroad.
Stargate SG-1,1997,13+,8.4/10,79/100,1,1,0,0,8.4,79.0,Action Adventure Drama,"A secret military team, SG-1, is formed to explore other planets through the recently discovered Stargates."
Outer Banks,2020,18+,7.6/10,79/100,1,0,0,0,7.6,79.0,Action Crime Drama,A group of teenagers from the wrong side of the tracks stumble upon a treasure map that unearths a long-buried secret.
13 Reasons Why,2017,18+,7.6/10,79/100,1,0,0,0,7.6,79.0,Drama Mystery Thriller,"Follows teenager Clay Jensen, in his quest to uncover the story behind his classmate and crush, Hannah, and her decision to end her life."
Unbreakable Kimmy Schmidt,2015,16+,7.6/10,79/100,1,0,0,0,7.6,79.0,Comedy,A woman is rescued from a doomsday cult and starts life over again in New York City.
Luke Cage,2016,18+,7.3/10,79/100,1,0,0,0,7.3,79.0,Action Crime Drama,"When a sabotaged experiment gives him super strength and unbreakable skin, Luke Cage becomes a fugitive attempting to rebuild his life in Harlem and must confront his past and fight a battle for the heart of his city."
GLOW,2017,18+,8.0/10,79/100,1,0,0,0,8.0,79.0,Comedy Drama Sport,A look at the personal and professional lives of a group of women who perform for a wrestling organization in Los Angeles during the 1980s.
Borgen,2010,18+,8.5/10,79/100,1,0,0,0,8.5,79.0,Drama,"A political drama about a prime minister's rise to power, and how power changes a prime minister."
The 4400,2004,7+,7.3/10,79/100,1,0,0,0,7.3,79.0,Drama Mystery Sci-Fi,"As the reappearance of 4,400 missing persons on a single day confounds the global community, federal agents on the case slowly discover the ways in which the victims have been changed."
Alias Grace,2017,18+,7.7/10,79/100,1,0,0,0,7.7,79.0,Biography Crime Drama,"In 19th-century Canada, a psychiatrist weighs whether a murderess should be pardoned due to insanity."
All American,2018,16+,7.7/10,79/100,1,0,0,0,7.7,79.0,Drama Sport,"When a star high school football player from South Central is recruited to play for Beverly Hills High School, two separate worlds collide."
Santa Clarita Diet,2017,18+,7.8/10,79/100,1,0,0,0,7.8,79.0,Comedy Horror,"Sheila and Joel are married real estate agents who live and work in Santa Clarita, California. When Sheila dies, their lives take a dark turn."
Reign,2013,16+,7.5/10,78/100,1,0,0,0,7.5,78.0,Drama,"Mary, Queen of Scots, faces political and sexual intrigue in the treacherous world of the French court."
Maniac,2018,18+,7.8/10,78/100,1,0,0,0,7.8,78.0,Comedy Drama Sci-Fi,"Two strangers are drawn to a mysterious pharmaceutical trial for a drug that they're assured will, with no complications or side-effects whatsoever, permanently solve all of their problems. Things do not go as planned."
Dark Matter,2015,18+,7.5/10,78/100,1,0,1,0,7.5,78.0,Adventure Drama Mystery,"In the dystopian 27th century, six people wake up on a deserted spaceship with no memory of who they are or what they're doing there. They reluctantly team up and set off to find answers with the help of a female android."
Star Trek: Voyager,1995,7+,7.8/10,78/100,1,1,1,0,7.8,78.0,Action Adventure Sci-Fi,"Pulled to the far side of the galaxy, where the Federation is seventy-five years away at maximum warp speed, a Starfleet ship must cooperate with Maquis rebels to find a way home."
"Tiger King: Murder, Mayhem and Madness",2020,18+,7.6/10,78/100,1,0,0,0,7.6,78.0,Documentary Biography Crime,"A rivalry between big cat eccentrics takes a dark turn when Joe Exotic, a controversial animal park boss, is caught in a murder-for-hire plot."
Call the Midwife,2012,16+,8.4/10,78/100,1,0,0,0,8.4,78.0,Drama History,Chronicles the lives of a group of midwives living in East London in the late 1950s to late 1960s.
Queer Eye,2018,16+,8.5/10,78/100,1,0,0,0,8.5,78.0,Reality-TV,"A new Fab Five set out to Atlanta to help some of the city's people refine their wardrobes, grooming, diet, cultural pursuits, and home décor."
American Vandal,2017,16+,8.2/10,78/100,1,0,0,0,8.2,78.0,Comedy Crime Drama,A true-crime satire that explores the aftermath of a costly high school prank that left twenty-seven faculty cars vandalized with phallic images.
