title,year,age,imdb,rotten_tomatoes,netflix,hulu,prime_video,disney+,imdb_raw,rotten_raw,themes,description
The Musketeers,2014,16+,7.8/10,71/100,0,1,0,0,7.8,71.0,Adventure Drama,"Set on the streets of 17th-century Paris, ""The Musketeers"" gives a contemporary take on the classic story about a group of highly trained soldiers and bodyguards assigned to protect King and country."
Sesame Street,1969,all,8.1/10,71/100,0,1,1,0,8.1,71.0,Animation Adventure Comedy,"On a special inner city street, the inhabitants, human and muppet, teach preschool subjects with comedy, cartoons, games, and songs."
Shrill,2019,18+,7.4/10,71/100,0,1,0,0,7.4,71.0,Comedy Drama,A woman seeks out ways to change her life without changing her body.
LEGO Masters,2020,7+,7.4/10,71/100,0,1,0,0,7.4,71.0,Reality-TV,"LEGO enthusiasts participate in a series of competitions that begin with a single LEGO brick and concludes with inspiring, complex constructions."
Good Behavior,2016,18+,8.1/10,71/100,0,1,0,0,8.1,71.0,Crime Drama Mystery,"Letty Raines is a thief and con artist whose life is always one wrong turn, one bad decision, from implosion. Which is just how she likes it."
Murdoch Mysteries,2008,7+,8.1/10,71/100,0,1,0,0,8.1,71.0,Crime Drama Mystery,"In the 1890s, William Murdoch uses radical forensic techniques for the time, including fingerprinting and trace evidence, to solve some of the city's most gruesome murders."
Full House,1987,all,6.7/10,71/100,0,1,0,0,6.7,71.0,Comedy Drama Family,A widowed broadcaster raises his three daughters with assistance from his rock'n'roll brother-in-law and his madcap best friend.
Mom,2013,16+,7.2/10,71/100,1,1,0,0,7.2,71.0,Comedy Drama Romance,A newly sober single mom tries to pull her life together in Napa Valley while dealing with her wayward mother.
King of the Hill,1997,7+,7.3/10,71/100,0,1,0,0,7.3,71.0,Animation Comedy Drama,"A straight-laced propane salesman in Arlen, Texas tries to deal with the wacky antics of his family and friends, while also trying to keep his son in line."
Doc Martin,2004,7+,8.3/10,71/100,0,1,0,0,8.3,71.0,Comedy Drama Romance,"The trials and tribulations of Dr. Martin Ellingham, who moves from London to the picturesque village of Portwenn in Cornwall."
